date,returns
2023-10-11,0.01030105678671746
2023-10-12,-0.006418481763528052
2023-10-13,-0.0010801145863184249
2023-10-16,-0.008745597696901438
2023-10-17,-0.007701411292098222
2023-10-18,-0.0005917951042512922
2023-10-19,-0.0015982706183907676
2023-10-20,0.0017206790778438947
2023-10-23,-0.005751701159275451
2023-10-24,0.0010431854523734931
2023-10-25,-0.009397499809801134
2023-10-26,-0.011133180865701442
2023-10-27,0.010516822810397133
2023-10-30,0.0017617035996105
2023-10-31,-0.0016724759340850394
2023-11-01,0.011517132496919949
2023-11-02,0.025045818920303404
2023-11-03,0.005485867651991041
2023-11-06,0.0012825216714242964
2023-11-07,-0.005809809996303987
2023-11-08,-0.008604119693349685
2023-11-09,-0.0037750639937298713
2023-11-10,0.007341652825321425
2023-11-13,0.0026294259065698026
2023-11-14,0.025735846077067095
2023-11-15,-0.0018897525204132036
2023-11-16,0.007563837915641922
2023-11-17,0.01713914696287965
2023-11-20,0.004429360292338649
2023-11-21,0.002805249849943483
2023-11-22,0.0018653427322425616
2023-11-24,-0.0056145198127303215
2023-11-27,0.0026911114511440465
2023-11-28,0.000984136345568953
2023-11-29,0.002174387514814451
2023-11-30,0.005816971097369705
2023-12-01,0.003515387170064591
2023-12-04,0.002265203796118516
2023-12-05,0.0007055745485026615
2023-12-06,-0.003345094055097643
2023-12-07,0.009381383201647895
2023-12-08,0.003443421280143308
2023-12-11,0.009116648052626035
2023-12-12,0.007801625146005581
2023-12-13,0.020521119257177423
2023-12-14,0.012413202119960292
2023-12-15,-0.005730695231337692
2023-12-18,0.0034753992594035925
2023-12-19,0.011643935945934358
2023-12-20,-0.00477504778533492
2023-12-21,0.011486576235510283
2023-12-22,0.0090839504162651
2023-12-26,0.005429274224376707
2023-12-27,0.003705323639345464
2023-12-28,-0.00018733515043829518
2023-12-29,-0.0004156193160159658
2024-01-02,-0.005347550507079742
2024-01-03,-0.004379047223355944
2024-01-04,-0.0011811607988601266
2024-01-05,-0.0021255441590315536
